a, b, c, d, e
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000
1000000000, 1000000000, 1000000000, 1000000000, 1000000000